0.04643368721008301
0.9 | GMM Diagonal | nComponents = 4 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.939 | MinDCF =0.660
0.9 | GMM Diagonal | nComponents = 4 | Raw | Calibrated | PCA = 8 | ActDCF =3.706 | MinDCF =0.677
0.1 | GMM Diagonal | nComponents = 8 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.414 | MinDCF =0.225
0.1 | GMM Diagonal | nComponents = 8 | Raw | Calibrated | PCA = 8 | ActDCF =0.439 | MinDCF =0.225
0.5 | GMM Diagonal | nComponents = 8 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.145 | MinDCF =0.143
0.5 | GMM Diagonal | nComponents = 8 | Raw | Calibrated | PCA = 8 | ActDCF =0.187 | MinDCF =0.143
0.9 | GMM Diagonal | nComponents = 8 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.031 | MinDCF =0.611
0.9 | GMM Diagonal | nComponents = 8 | Raw | Calibrated | PCA = 8 | ActDCF =3.180 | MinDCF =0.629
0.1 | GMM Diagonal | nComponents = 16 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.375 | MinDCF =0.233
0.1 | GMM Diagonal | nComponents = 16 | Raw | Calibrated | PCA = 8 | ActDCF =0.401 | MinDCF =0.234
0.5 | GMM Diagonal | nComponents = 16 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.136 | MinDCF =0.135
0.5 | GMM Diagonal | nComponents = 16 | Raw | Calibrated | PCA = 8 | ActDCF =0.201 | MinDCF =0.135
0.9 | GMM Diagonal | nComponents = 16 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.984 | MinDCF =0.662
0.9 | GMM Diagonal | nComponents = 16 | Raw | Calibrated | PCA = 8 | ActDCF =3.290 | MinDCF =0.686
0.1 | GMM Diagonal | nComponents = 1 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.998
0.1 | GMM Diagonal | nComponents = 1 | Normalized | Calibrated | PCA = 8 | ActDCF =2.449 | MinDCF =0.999
0.5 | GMM Diagonal | nComponents = 1 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.617
0.5 | GMM Diagonal | nComponents = 1 | Normalized | Calibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.616
0.9 | GMM Diagonal | nComponents = 1 | Normalized | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =1.055
0.9 | GMM Diagonal | nComponents = 1 | Normalized | Calibrated | PCA = 8 | ActDCF =9.000 | MinDCF =1.011
0.1 | GMM Diagonal | nComponents = 2 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =1.000
0.1 | GMM Diagonal | nComponents = 2 | Normalized | Calibrated | PCA = 8 | ActDCF =2.946 | MinDCF =1.000
0.5 | GMM Diagonal | nComponents = 2 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.629
0.5 | GMM Diagonal | nComponents = 2 | Normalized | Calibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.630
0.9 | GMM Diagonal | nComponents = 2 | Normalized | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =1.066
0.9 | GMM Diagonal | nComponents = 2 | Normalized | Calibrated | PCA = 8 | ActDCF =9.000 | MinDCF =1.033
0.1 | GMM Diagonal | nComponents = 4 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =1.000
0.1 | GMM Diagonal | nComponents = 4 | Normalized | Calibrated | PCA = 8 | ActDCF =3.870 | MinDCF =1.000
0.5 | GMM Diagonal | nComponents = 4 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.769
0.5 | GMM Diagonal | nComponents = 4 | Normalized | Calibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.772
0.9 | GMM Diagonal | nComponents = 4 | Normalized | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =1.011
0.9 | GMM Diagonal | nComponents = 4 | Normalized | Calibrated | PCA = 8 | ActDCF =9.000 | MinDCF =1.011
0.1 | GMM Diagonal | nComponents = 8 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.999
0.1 | GMM Diagonal | nComponents = 8 | Normalized | Calibrated | PCA = 8 | ActDCF =2.489 | MinDCF =0.959
0.5 | GMM Diagonal | nComponents = 8 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.892
0.5 | GMM Diagonal | nComponents = 8 | Normalized | Calibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.908
0.9 | GMM Diagonal | nComponents = 8 | Normalized | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =1.011
0.9 | GMM Diagonal | nComponents = 8 | Normalized | Calibrated | PCA = 8 | ActDCF =9.000 | MinDCF =1.009
0.1 | GMM Diagonal | nComponents = 16 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.006 | MinDCF =1.000
0.1 | GMM Diagonal | nComponents = 16 | Normalized | Calibrated | PCA = 8 | ActDCF =1.000 | MinDCF =1.000
0.5 | GMM Diagonal | nComponents = 16 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.001 | MinDCF =0.895
0.5 | GMM Diagonal | nComponents = 16 | Normalized | Calibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.918
0.9 | GMM Diagonal | nComponents = 16 | Normalized | Uncalibrated | PCA = 8 | ActDCF =9.001 | MinDCF =1.011
0.9 | GMM Diagonal | nComponents = 16 | Normalized | Calibrated | PCA = 8 | ActDCF =9.000 | MinDCF =1.011
0.1 | GMM Tied | nComponents = 1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.399 | MinDCF =0.286
0.1 | GMM Tied | nComponents = 1 | Raw | Calibrated | PCA = 8 | ActDCF =0.304 | MinDCF =0.290
0.5 | GMM Tied | nComponents = 1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.161 | MinDCF =0.141
0.5 | GMM Tied | nComponents = 1 | Raw | Calibrated | PCA = 8 | ActDCF =0.314 | MinDCF =0.148
0.9 | GMM Tied | nComponents = 1 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.214 | MinDCF =0.672
0.9 | GMM Tied | nComponents = 1 | Raw | Calibrated | PCA = 8 | ActDCF =3.290 | MinDCF =0.708
0.1 | GMM Tied | nComponents = 2 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.399 | MinDCF =0.286
0.1 | GMM Tied | nComponents = 2 | Raw | Calibrated | PCA = 8 | ActDCF =0.304 | MinDCF =0.290
0.5 | GMM Tied | nComponents = 2 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.161 | MinDCF =0.141
0.5 | GMM Tied | nComponents = 2 | Raw | Calibrated | PCA = 8 | ActDCF =0.314 | MinDCF =0.148
0.9 | GMM Tied | nComponents = 2 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.214 | MinDCF =0.672
0.9 | GMM Tied | nComponents = 2 | Raw | Calibrated | PCA = 8 | ActDCF =3.301 | MinDCF =0.708
0.1 | GMM Tied | nComponents = 4 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.325 | MinDCF =0.261
0.1 | GMM Tied | nComponents = 4 | Raw | Calibrated | PCA = 8 | ActDCF =0.268 | MinDCF =0.261
