0.9 | 0.9 | Full | Raw | PCA = 7 | ActDCF =0.980 | MinDCF =0.872
0.9 | 0.1 | Full | Raw | PCA = 8 | ActDCF =4.852 | MinDCF =0.791
0.9 | 0.5 | Full | Raw | PCA = 8 | ActDCF =0.584 | MinDCF =0.345
0.9 | 0.9 | Full | Raw | PCA = 8 | ActDCF =0.989 | MinDCF =0.878
0.9 | 0.1 | Full | Raw | PCA = 9 | ActDCF =4.209 | MinDCF =0.832
0.9 | 0.5 | Full | Raw | PCA = 9 | ActDCF =0.515 | MinDCF =0.321
0.9 | 0.9 | Full | Raw | PCA = 9 | ActDCF =0.946 | MinDCF =0.817
0.9 | 0.1 | Full | Raw | PCA = 10 | ActDCF =4.599 | MinDCF =0.799
0.9 | 0.5 | Full | Raw | PCA = 10 | ActDCF =0.553 | MinDCF =0.327
0.9 | 0.9 | Full | Raw | PCA = 10 | ActDCF =0.931 | MinDCF =0.852
0.9 | 0.1 | Full | Raw | PCA = 11 | ActDCF =4.578 | MinDCF =0.780
0.9 | 0.5 | Full | Raw | PCA = 11 | ActDCF =0.552 | MinDCF =0.312
0.9 | 0.9 | Full | Raw | PCA = 11 | ActDCF =0.944 | MinDCF =0.843
0.9 | 0.1 | Full | Normalized | PCA = 5 | ActDCF =5.990 | MinDCF =0.821
0.9 | 0.5 | Full | Normalized | PCA = 5 | ActDCF =0.692 | MinDCF =0.384
0.9 | 0.9 | Full | Normalized | PCA = 5 | ActDCF =0.927 | MinDCF =0.878
0.9 | 0.1 | Full | Normalized | PCA = 6 | ActDCF =5.186 | MinDCF =0.822
0.9 | 0.5 | Full | Normalized | PCA = 6 | ActDCF =0.605 | MinDCF =0.365
0.9 | 0.9 | Full | Normalized | PCA = 6 | ActDCF =0.866 | MinDCF =0.779
0.9 | 0.1 | Full | Normalized | PCA = 7 | ActDCF =4.799 | MinDCF =0.822
0.9 | 0.5 | Full | Normalized | PCA = 7 | ActDCF =0.564 | MinDCF =0.325
0.9 | 0.9 | Full | Normalized | PCA = 7 | ActDCF =0.838 | MinDCF =0.755
0.9 | 0.1 | Full | Normalized | PCA = 8 | ActDCF =4.403 | MinDCF =0.856
0.9 | 0.5 | Full | Normalized | PCA = 8 | ActDCF =0.527 | MinDCF =0.308
0.9 | 0.9 | Full | Normalized | PCA = 8 | ActDCF =0.866 | MinDCF =0.751
0.9 | 0.1 | Full | Normalized | PCA = 9 | ActDCF =4.253 | MinDCF =0.825
0.9 | 0.5 | Full | Normalized | PCA = 9 | ActDCF =0.507 | MinDCF =0.307
0.9 | 0.9 | Full | Normalized | PCA = 9 | ActDCF =0.821 | MinDCF =0.719
0.9 | 0.1 | Full | Normalized | PCA = 10 | ActDCF =3.996 | MinDCF =0.795
0.9 | 0.5 | Full | Normalized | PCA = 10 | ActDCF =0.479 | MinDCF =0.299
0.9 | 0.9 | Full | Normalized | PCA = 10 | ActDCF =0.792 | MinDCF =0.716
0.9 | 0.1 | Full | Normalized | PCA = 11 | ActDCF =3.935 | MinDCF =0.788
0.9 | 0.5 | Full | Normalized | PCA = 11 | ActDCF =0.476 | MinDCF =0.304
0.9 | 0.9 | Full | Normalized | PCA = 11 | ActDCF =0.829 | MinDCF =0.790
0.1 | 0.1 | Bayes | Raw | PCA = 5 | ActDCF =0.883 | MinDCF =0.879
0.1 | 0.5 | Bayes | Raw | PCA = 5 | ActDCF =0.700 | MinDCF =0.414
0.1 | 0.9 | Bayes | Raw | PCA = 5 | ActDCF =6.116 | MinDCF =0.998
0.1 | 0.1 | Bayes | Raw | PCA = 6 | ActDCF =0.918 | MinDCF =0.878
0.1 | 0.5 | Bayes | Raw | PCA = 6 | ActDCF =0.684 | MinDCF =0.414
0.1 | 0.9 | Bayes | Raw | PCA = 6 | ActDCF =5.917 | MinDCF =0.936
0.1 | 0.1 | Bayes | Raw | PCA = 7 | ActDCF =0.890 | MinDCF =0.866
0.1 | 0.5 | Bayes | Raw | PCA = 7 | ActDCF =0.675 | MinDCF =0.396
0.1 | 0.9 | Bayes | Raw | PCA = 7 | ActDCF =5.856 | MinDCF =0.927
0.1 | 0.1 | Bayes | Raw | PCA = 8 | ActDCF =0.894 | MinDCF =0.861
0.1 | 0.5 | Bayes | Raw | PCA = 8 | ActDCF =0.672 | MinDCF =0.389
