0.1 | 0.1 | Linear Regression | Lambda =1.13e-01 | Raw | PCA = 10 | ActDCF =1.003 | MinDCF =0.862
0.1 | 0.5 | Linear Regression | Lambda =1.13e-01 | Raw | PCA = 10 | ActDCF =0.990 | MinDCF =0.417
0.1 | 0.9 | Linear Regression | Lambda =1.13e-01 | Raw | PCA = 10 | ActDCF =8.899 | MinDCF =0.992
0.1 | 0.1 | Linear Regression | Lambda =1.13e-01 | Normalized | PCA = 10 | ActDCF =0.997 | MinDCF =0.815
0.1 | 0.5 | Linear Regression | Lambda =1.13e-01 | Normalized | PCA = 10 | ActDCF =0.997 | MinDCF =0.394
0.1 | 0.9 | Linear Regression | Lambda =1.13e-01 | Normalized | PCA = 10 | ActDCF =8.971 | MinDCF =0.927
0.1 | 0.1 | Linear Regression | Lambda =2.64e-01 | Raw | PCA = 10 | ActDCF =1.007 | MinDCF =0.908
0.1 | 0.5 | Linear Regression | Lambda =2.64e-01 | Raw | PCA = 10 | ActDCF =1.001 | MinDCF =0.433
0.1 | 0.9 | Linear Regression | Lambda =2.64e-01 | Raw | PCA = 10 | ActDCF =9.001 | MinDCF =0.991
0.1 | 0.1 | Linear Regression | Lambda =2.64e-01 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.830
0.1 | 0.5 | Linear Regression | Lambda =2.64e-01 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.418
0.1 | 0.9 | Linear Regression | Lambda =2.64e-01 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.923
0.1 | 0.1 | Linear Regression | Lambda =6.16e-01 | Raw | PCA = 10 | ActDCF =1.007 | MinDCF =1.000
0.1 | 0.5 | Linear Regression | Lambda =6.16e-01 | Raw | PCA = 10 | ActDCF =1.001 | MinDCF =0.522
0.1 | 0.9 | Linear Regression | Lambda =6.16e-01 | Raw | PCA = 10 | ActDCF =9.001 | MinDCF =0.989
0.1 | 0.1 | Linear Regression | Lambda =6.16e-01 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.862
0.1 | 0.5 | Linear Regression | Lambda =6.16e-01 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.432
0.1 | 0.9 | Linear Regression | Lambda =6.16e-01 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.909
0.1 | 0.1 | Linear Regression | Lambda =1.44e+00 | Raw | PCA = 10 | ActDCF =1.007 | MinDCF =1.000
0.1 | 0.5 | Linear Regression | Lambda =1.44e+00 | Raw | PCA = 10 | ActDCF =1.001 | MinDCF =0.632
0.1 | 0.9 | Linear Regression | Lambda =1.44e+00 | Raw | PCA = 10 | ActDCF =9.001 | MinDCF =0.998
0.1 | 0.1 | Linear Regression | Lambda =1.44e+00 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.872
0.1 | 0.5 | Linear Regression | Lambda =1.44e+00 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.442
0.1 | 0.9 | Linear Regression | Lambda =1.44e+00 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.902
0.1 | 0.1 | Linear Regression | Lambda =3.36e+00 | Raw | PCA = 10 | ActDCF =1.000 | MinDCF =1.000
0.1 | 0.5 | Linear Regression | Lambda =3.36e+00 | Raw | PCA = 10 | ActDCF =1.000 | MinDCF =0.716
0.1 | 0.9 | Linear Regression | Lambda =3.36e+00 | Raw | PCA = 10 | ActDCF =9.000 | MinDCF =0.998
0.1 | 0.1 | Linear Regression | Lambda =3.36e+00 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.871
0.1 | 0.5 | Linear Regression | Lambda =3.36e+00 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.453
0.1 | 0.9 | Linear Regression | Lambda =3.36e+00 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.908
0.1 | 0.1 | Linear Regression | Lambda =7.85e+00 | Raw | PCA = 10 | ActDCF =1.000 | MinDCF =1.000
0.1 | 0.5 | Linear Regression | Lambda =7.85e+00 | Raw | PCA = 10 | ActDCF =1.000 | MinDCF =0.752
0.1 | 0.9 | Linear Regression | Lambda =7.85e+00 | Raw | PCA = 10 | ActDCF =9.000 | MinDCF =0.998
0.1 | 0.1 | Linear Regression | Lambda =7.85e+00 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.876
0.1 | 0.5 | Linear Regression | Lambda =7.85e+00 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.456
0.1 | 0.9 | Linear Regression | Lambda =7.85e+00 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.914
0.1 | 0.1 | Linear Regression | Lambda =1.83e+01 | Raw | PCA = 10 | ActDCF =1.000 | MinDCF =1.000
0.1 | 0.5 | Linear Regression | Lambda =1.83e+01 | Raw | PCA = 10 | ActDCF =1.000 | MinDCF =0.782
0.1 | 0.9 | Linear Regression | Lambda =1.83e+01 | Raw | PCA = 10 | ActDCF =9.000 | MinDCF =0.998
0.1 | 0.1 | Linear Regression | Lambda =1.83e+01 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.880
